From	To	Species	Gene Name
GALR1	2587	Homo sapiens	galanin receptor 1
NUDCD1	84955	Homo sapiens	NudC domain containing 1
ATG7	10533	Homo sapiens	ATG7 autophagy related 7 homolog (S. cerevisiae)
GALR3	8484	Homo sapiens	galanin receptor 3
GALR2	8811	Homo sapiens	galanin receptor 2
SPATA22	84690	Homo sapiens	spermatogenesis associated 22
LOC728723	728723	Homo sapiens	hypothetical LOC728723
NET1	10276	Homo sapiens	neuroepithelial cell transforming 1
SPATA24	202051	Homo sapiens	hypothetical protein LOC202051
BCL10	8915	Homo sapiens	B-cell CLL/lymphoma 10; hypothetical LOC646626
BCL10	646626	Homo sapiens	B-cell CLL/lymphoma 10; hypothetical LOC646626
B3GNTL1	146712	Homo sapiens	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase-like 1
FADD	8772	Homo sapiens	Fas (TNFRSF6)-associated via death domain
IL11RA	3590	Homo sapiens	interleukin 11 receptor, alpha
FLJ35024	401491	Homo sapiens	hypothetical LOC401491
SPATA18	132671	Homo sapiens	spermatogenesis associated 18 homolog (rat)
SPATA19	219938	Homo sapiens	spermatogenesis associated 19
SPATA16	83893	Homo sapiens	spermatogenesis associated 16
SPATA17	128153	Homo sapiens	spermatogenesis associated 17
NEU1	4758	Homo sapiens	sialidase 1 (lysosomal sialidase)
SPATA12	353324	Homo sapiens	spermatogenesis associated 12
NEU3	10825	Homo sapiens	sialidase 3 (membrane sialidase)
NEU2	4759	Homo sapiens	sialidase 2 (cytosolic sialidase)
SPATA13	221178	Homo sapiens	spermatogenesis associated 13
NEU4	129807	Homo sapiens	sialidase 4
ARHGDIG	398	Homo sapiens	Rho GDP dissociation inhibitor (GDI) gamma
LOC255654	255654	Homo sapiens	hypothetical protein LOC255654
TFE3	7030	Homo sapiens	transcription factor binding to IGHM enhancer 3
TFEB	7942	Homo sapiens	transcription factor EB
ST8SIA1	6489	Homo sapiens	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1
ST8SIA3	51046	Homo sapiens	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3
ST8SIA2	8128	Homo sapiens	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2
ATF1	466	Homo sapiens	activating transcription factor 1
NR2C2	7182	Homo sapiens	nuclear receptor subfamily 2, group C, member 2
ATF2	1386	Homo sapiens	activating transcription factor 2
EPM2AIP1	9852	Homo sapiens	EPM2A (laforin) interacting protein 1
NR2C1	7181	Homo sapiens	nuclear receptor subfamily 2, group C, member 1
QSER1	79832	Homo sapiens	glutamine and serine rich 1
TFEC	22797	Homo sapiens	transcription factor EC
MANEA	79694	Homo sapiens	mannosidase, endo-alpha
SCN9A	6335	Homo sapiens	sodium channel, voltage-gated, type IX, alpha subunit
TFF2	7032	Homo sapiens	trefoil factor 2
TFF3	7033	Homo sapiens	trefoil factor 3 (intestinal)
TFF1	7031	Homo sapiens	trefoil factor 1
ARHGDIA	396	Homo sapiens	Rho GDP dissociation inhibitor (GDI) alpha
ARHGDIB	397	Homo sapiens	Rho GDP dissociation inhibitor (GDI) beta
OR1I1	126370	Homo sapiens	olfactory receptor, family 1, subfamily I, member 1
SHPRH	257218	Homo sapiens	SNF2 histone linker PHD RING helicase
MEA1	4201	Homo sapiens	male-enhanced antigen 1
FLJ25758	497049	Homo sapiens	hypothetical locus FLJ25758
ATG3	64422	Homo sapiens	ATG3 autophagy related 3 homolog (S. cerevisiae)
MPRIP	729143	Homo sapiens	myosin phosphatase Rho interacting protein; similar to Myosin phosphatase Rho-interacting protein (Rho-interacting protein 3) (M-RIP) (RIP3) (p116Rip)
MPRIP	23164	Homo sapiens	myosin phosphatase Rho interacting protein; similar to Myosin phosphatase Rho-interacting protein (Rho-interacting protein 3) (M-RIP) (RIP3) (p116Rip)
HDAC5	10014	Homo sapiens	histone deacetylase 5
ATF6	22926	Homo sapiens	activating transcription factor 6
ATF5	22809	Homo sapiens	activating transcription factor 5
HDAC4	9759	Homo sapiens	histone deacetylase 4
HDAC3	8841	Homo sapiens	histone deacetylase 3
HDAC2	3066	Homo sapiens	histone deacetylase 2
ATF3	467	Homo sapiens	activating transcription factor 3
HDAC1	3065	Homo sapiens	histone deacetylase 1
ST8SIA4	7903	Homo sapiens	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4
FAAH	2166	Homo sapiens	fatty acid amide hydrolase
ATF7	11016	Homo sapiens	activating transcription factor 7
ST8SIA5	29906	Homo sapiens	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5
RGAG1	57529	Homo sapiens	retrotransposon gag domain containing 1
RGAG4	340526	Homo sapiens	retrotransposon gag domain containing 4
SCN8A	6334	Homo sapiens	sodium channel, voltage gated, type VIII, alpha subunit
HDAC9	9734	Homo sapiens	histone deacetylase 9
HDAC8	55869	Homo sapiens	histone deacetylase 8
HDAC7	51564	Homo sapiens	histone deacetylase 7
HDAC6	10013	Homo sapiens	histone deacetylase 6
HINT3	135114	Homo sapiens	histidine triad nucleotide binding protein 3
ATL2	64225	Homo sapiens	atlastin GTPase 2
HP1BP3	50809	Homo sapiens	heterochromatin protein 1, binding protein 3
ATL1	51062	Homo sapiens	atlastin GTPase 1
HINT1	3094	Homo sapiens	histidine triad nucleotide binding protein 1
ATL3	25923	Homo sapiens	atlastin GTPase 3
HINT2	84681	Homo sapiens	histidine triad nucleotide binding protein 2
ALS2CR12	130540	Homo sapiens	amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 12
SCN7A	6332	Homo sapiens	sodium channel, voltage-gated, type VII, alpha
ACAD8	27034	Homo sapiens	acyl-Coenzyme A dehydrogenase family, member 8
ALS2CR11	151254	Homo sapiens	amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 11
ACAD9	28976	Homo sapiens	acyl-Coenzyme A dehydrogenase family, member 9
IMPDH1	3614	Homo sapiens	IMP (inosine monophosphate) dehydrogenase 1
IMPDH2	3615	Homo sapiens	IMP (inosine monophosphate) dehydrogenase 2
ACADM	34	Homo sapiens	acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain
ACADS	35	Homo sapiens	acyl-Coenzyme A dehydrogenase, C-2 to C-3 short chain
LOC441601	441601	Homo sapiens	septin 7 pseudogene
GAN	8139	Homo sapiens	gigaxonin
NEXN	91624	Homo sapiens	nexilin (F actin binding protein)
ACADL	33	Homo sapiens	acyl-Coenzyme A dehydrogenase, long chain
GAL	51083	Homo sapiens	galanin prepropeptide
GAK	2580	Homo sapiens	cyclin G associated kinase
SNRNP200	23020	Homo sapiens	similar to U5 snRNP-specific protein, 200 kDa; small nuclear ribonucleoprotein 200kDa (U5)
SNRNP200	652147	Homo sapiens	similar to U5 snRNP-specific protein, 200 kDa; small nuclear ribonucleoprotein 200kDa (U5)
GAA	2548	Homo sapiens	glucosidase, alpha; acid
LOC400238	400238	Homo sapiens	hypothetical gene supported by AK093266
MAPRE2	10982	Homo sapiens	microtubule-associated protein, RP/EB family, member 2
LOC400236	400236	Homo sapiens	hypothetical LOC400236
MAPRE1	22919	Homo sapiens	microtubule-associated protein, RP/EB family, member 1
MAPRE3	22924	Homo sapiens	microtubule-associated protein, RP/EB family, member 3
UGP2	7360	Homo sapiens	UDP-glucose pyrophosphorylase 2
SLC7A6OS	84138	Homo sapiens	solute carrier family 7, member 6 opposite strand
WDYHV1	55093	Homo sapiens	WDYHV motif containing 1
MGC15885	197003	Homo sapiens	hypothetical protein MGC15885
TFAM	7019	Homo sapiens	transcription factor A, mitochondrial
ATIC	471	Homo sapiens	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase
DCLK3	85443	Homo sapiens	doublecortin-like kinase 3
DCLK2	166614	Homo sapiens	doublecortin-like kinase 2
SCNN1G	6340	Homo sapiens	sodium channel, nonvoltage-gated 1, gamma
SCNN1B	6338	Homo sapiens	sodium channel, nonvoltage-gated 1, beta
SCN5A	6331	Homo sapiens	sodium channel, voltage-gated, type V, alpha subunit
SCNN1A	6337	Homo sapiens	sodium channel, nonvoltage-gated 1 alpha
DCLK1	9201	Homo sapiens	doublecortin-like kinase 1
SCNN1D	6339	Homo sapiens	sodium channel, nonvoltage-gated 1, delta
GCG	2641	Homo sapiens	glucagon
CUL4A	8451	Homo sapiens	cullin 4A
GCK	2645	Homo sapiens	glucokinase (hexokinase 4)
MEP1A	4224	Homo sapiens	meprin A, alpha (PABA peptide hydrolase)
SCN4B	6330	Homo sapiens	sodium channel, voltage-gated, type IV, beta
MEP1B	4225	Homo sapiens	meprin A, beta
FAF2	23197	Homo sapiens	Fas associated factor family member 2
CUL4B	8450	Homo sapiens	cullin 4B
FAF1	11124	Homo sapiens	Fas (TNFRSF6) associated factor 1
GCA	25801	Homo sapiens	grancalcin, EF-hand calcium binding protein
SCN4A	6329	Homo sapiens	sodium channel, voltage-gated, type IV, alpha subunit
RNF113A	7737	Homo sapiens	ring finger protein 113A
RAB3GAP2	25782	Homo sapiens	RAB3 GTPase activating protein subunit 2 (non-catalytic)
HKR1	284459	Homo sapiens	GLI-Kruppel family member HKR1
IL6ST	3572	Homo sapiens	interleukin 6 signal transducer (gp130, oncostatin M receptor)
RAB3GAP1	22930	Homo sapiens	RAB3 GTPase activating protein subunit 1 (catalytic)
NELL1	4745	Homo sapiens	NEL-like 1 (chicken)
FST	10468	Homo sapiens	follistatin
NELL2	4753	Homo sapiens	NEL-like 2 (chicken)
PPCS	79717	Homo sapiens	phosphopantothenoylcysteine synthetase
NELF	26012	Homo sapiens	nasal embryonic LHRH factor
WWP2	11060	Homo sapiens	WW domain containing E3 ubiquitin protein ligase 2
WWP1	11059	Homo sapiens	WW domain containing E3 ubiquitin protein ligase 1
WWOX	51741	Homo sapiens	WW domain containing oxidoreductase
FTL	392437	Homo sapiens	similar to ferritin, light polypeptide; ferritin, light polypeptide
FTL	2512	Homo sapiens	similar to ferritin, light polypeptide; ferritin, light polypeptide
SGPL1	8879	Homo sapiens	sphingosine-1-phosphate lyase 1
C5AR1	728	Homo sapiens	complement component 5a receptor 1
FRY	10129	Homo sapiens	furry homolog (Drosophila)
PPBP	5473	Homo sapiens	pro-platelet basic protein (chemokine (C-X-C motif) ligand 7)
ACAP3	116983	Homo sapiens	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3
ACAP1	9744	Homo sapiens	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1
ACAP2	23527	Homo sapiens	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2
NEK8	284086	Homo sapiens	NIMA (never in mitosis gene a)- related kinase 8
ATP5C1	509	Homo sapiens	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1
NEK9	91754	Homo sapiens	NIMA (never in mitosis gene a)- related kinase 9
CDCA7L	55536	Homo sapiens	cell division cycle associated 7-like
NEK4	6787	Homo sapiens	NIMA (never in mitosis gene a)-related kinase 4
NEK6	10783	Homo sapiens	NIMA (never in mitosis gene a)-related kinase 6
MDH2	4191	Homo sapiens	malate dehydrogenase 2, NAD (mitochondrial)
MDH1	4190	Homo sapiens	malate dehydrogenase 1, NAD (soluble)
NEK7	140609	Homo sapiens	NIMA (never in mitosis gene a)-related kinase 7
OR2B6	26212	Homo sapiens	olfactory receptor, family 2, subfamily B, member 6
FUS	2521	Homo sapiens	fusion (involved in t(12;16) in malignant liposarcoma)
OR2B3	442184	Homo sapiens	olfactory receptor, family 2, subfamily B, member 3
NEK3	4752	Homo sapiens	NIMA (never in mitosis gene a)-related kinase 3
NEK2	4751	Homo sapiens	NIMA (never in mitosis gene a)-related kinase 2
NEK1	4750	Homo sapiens	NIMA (never in mitosis gene a)-related kinase 1
ACAT2	39	Homo sapiens	acetyl-Coenzyme A acetyltransferase 2
ACAT1	38	Homo sapiens	acetyl-Coenzyme A acetyltransferase 1
PPAT	5471	Homo sapiens	phosphoribosyl pyrophosphate amidotransferase
FUZ	80199	Homo sapiens	fuzzy homolog (Drosophila)
NR1H2	7376	Homo sapiens	nuclear receptor subfamily 1, group H, member 2
PPAN	56342	Homo sapiens	peter pan homolog (Drosophila)
LOC730102	730102	Homo sapiens	hypothetical protein LOC730102
VRK1	7443	Homo sapiens	vaccinia related kinase 1
LOC730101	730101	Homo sapiens	hypothetical LOC730101
VRK2	7444	Homo sapiens	vaccinia related kinase 2
VRK3	51231	Homo sapiens	vaccinia related kinase 3
MAML3	55534	Homo sapiens	mastermind-like 3 (Drosophila)
OR2C3	81472	Homo sapiens	olfactory receptor, family 2, subfamily C, member 3
NR1H4	9971	Homo sapiens	nuclear receptor subfamily 1, group H, member 4
OR2C1	4993	Homo sapiens	olfactory receptor, family 2, subfamily C, member 1
NR1H3	10062	Homo sapiens	nuclear receptor subfamily 1, group H, member 3
TYROBP	7305	Homo sapiens	TYRO protein tyrosine kinase binding protein
MDFI	4188	Homo sapiens	MyoD family inhibitor
TM2D1	83941	Homo sapiens	TM2 domain containing 1
TM2D2	83877	Homo sapiens	TM2 domain containing 2
MAML1	9794	Homo sapiens	mastermind-like 1 (Drosophila)
MAML2	84441	Homo sapiens	mastermind-like 2 (Drosophila)
FTO	79068	Homo sapiens	fat mass and obesity associated
ALMS1	7840	Homo sapiens	Alstrom syndrome 1
TM2D3	80213	Homo sapiens	TM2 domain containing 3
AFG3L2	10939	Homo sapiens	AFG3 ATPase family gene 3-like 2 (yeast)
PPA2	27068	Homo sapiens	pyrophosphatase (inorganic) 2
PPA1	5464	Homo sapiens	pyrophosphatase (inorganic) 1
TNKS1BP1	85456	Homo sapiens	tankyrase 1 binding protein 1, 182kDa
NR1I3	9970	Homo sapiens	nuclear receptor subfamily 1, group I, member 3
ZFHX4	79776	Homo sapiens	zinc finger homeobox 4
NR1I2	8856	Homo sapiens	nuclear receptor subfamily 1, group I, member 2
SUPT16H	11198	Homo sapiens	suppressor of Ty 16 homolog (S. cerevisiae); suppressor of Ty 16 homolog (S. cerevisiae) pseudogene
SUPT16H	400011	Homo sapiens	suppressor of Ty 16 homolog (S. cerevisiae); suppressor of Ty 16 homolog (S. cerevisiae) pseudogene
FUK	197258	Homo sapiens	fucokinase
ZFHX2	85446	Homo sapiens	zinc finger homeobox 2
ZFHX3	463	Homo sapiens	zinc finger homeobox 3; hypothetical LOC100132068
ZFHX3	100132068	Homo sapiens	zinc finger homeobox 3; hypothetical LOC100132068
OR2B2	81697	Homo sapiens	olfactory receptor, family 2, subfamily B, member 2
STEAP3	55240	Homo sapiens	STEAP family member 3
OR10A5	144124	Homo sapiens	olfactory receptor, family 10, subfamily A, member 5
STEAP4	79689	Homo sapiens	STEAP family member 4
OR10A3	26496	Homo sapiens	olfactory receptor, family 10, subfamily A, member 3
IER3IP1	51124	Homo sapiens	immediate early response 3 interacting protein 1
OR10A4	283297	Homo sapiens	olfactory receptor, family 10, subfamily A, member 4
EID2B	126272	Homo sapiens	EP300 interacting inhibitor of differentiation 2B
NUDT9P1	119369	Homo sapiens	nudix (nucleoside diphosphate linked moiety X)-type motif 9 pseudogene 1
MITD1	129531	Homo sapiens	MIT, microtubule interacting and transport, domain containing 1
FXN	2395	Homo sapiens	frataxin
LOC728769	728769	Homo sapiens	hypothetical protein LOC728769
SIGMAR1	10280	Homo sapiens	sigma non-opioid intracellular receptor 1
RPL23AP32	56969	Homo sapiens	ribosomal protein L23a pseudogene 32
OR2H2	7932	Homo sapiens	olfactory receptor, family 2, subfamily H, member 2
OR2H1	26716	Homo sapiens	olfactory receptor, family 2, subfamily H, member 1
STEAP2	261729	Homo sapiens	six transmembrane epithelial antigen of the prostate 2
STEAP1	26872	Homo sapiens	six transmembrane epithelial antigen of the prostate 1
MON1B	22879	Homo sapiens	MON1 homolog B (yeast)
MON1A	84315	Homo sapiens	MON1 homolog A (yeast)
PARD3	56288	Homo sapiens	par-3 partitioning defective 3 homolog (C. elegans)
LOC728730	728730	Homo sapiens	hypothetical LOC728730
NEO1	4756	Homo sapiens	neogenin homolog 1 (chicken)
NR1D1	9572	Homo sapiens	nuclear receptor subfamily 1, group D, member 1
NR1D2	9975	Homo sapiens	nuclear receptor subfamily 1, group D, member 2
IL10RB	3588	Homo sapiens	interleukin 10 receptor, beta
MDC1	9656	Homo sapiens	mediator of DNA-damage checkpoint 1
IL10RA	3587	Homo sapiens	interleukin 10 receptor, alpha
NENF	29937	Homo sapiens	neuron derived neurotrophic factor
CCDC163P	126661	Homo sapiens	hypothetical protein LOC126661
FYB	2533	Homo sapiens	FYN binding protein (FYB-120/130)
LOC728743	728743	Homo sapiens	similar to GLI-Kruppel family member HKR1
TEX9	374618	Homo sapiens	testis expressed 9
BLVRA	644	Homo sapiens	biliverdin reductase A
OR2F2	135948	Homo sapiens	olfactory receptor, family 2, subfamily F, member 2
OR2F1	26211	Homo sapiens	olfactory receptor, family 2, subfamily F, member 1
TEX2	55852	Homo sapiens	testis expressed 2
